model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,2014,11200.0,Automatic,67068,Diesel,125,57.6,2.0
 6 Series,2018,27000.0,Automatic,14827,Petrol,145,42.8,2.0
 5 Series,2016,14900.0,Automatic,35309,Diesel,125,60.1,2.0
 5 Series,2017,16000.0,Automatic,38538,Diesel,125,60.1,2.0
 X3,2017,15500.0,Manual,74907,Diesel,145,52.3,2.0
 X3,2016,15500.0,Automatic,77823,Diesel,125,54.3,2.0
 X3,2017,22000.0,Automatic,19057,Diesel,145,54.3,2.0
 3 Series,2017,16500.0,Manual,16570,Diesel,125,58.9,2.0
 4 Series,2014,14000.0,Automatic,47348,Diesel,125,60.1,2.0
 3 Series,2019,17800.0,Automatic,22310,Diesel,145,64.2,2.0
 4 Series,2017,16800.0,Automatic,44011,Diesel,150,65.7,2.0
 X4,2017,23000.0,Automatic,34960,Diesel,150,54.3,2.0
 3 Series,2015,11500.0,Manual,59634,Diesel,125,61.4,2.0
 X1,2017,18900.0,Automatic,33514,Diesel,145,60.1,2.0
 3 Series,2016,15800.0,Manual,11231,Petrol,145,47.9,2.0
 X1,2016,16700.0,Automatic,44478,Diesel,125,60.1,2.0
 1 Series,2017,11200.0,Manual,40399,Diesel,145,68.9,2.0
 X1,2017,14000.0,Manual,20925,Diesel,150,68.9,2.0
 1 Series,2017,14500.0,Automatic,27245,Diesel,145,68.9,2.0
 3 Series,2013,12750.0,Automatic,35736,Diesel,125,58.9,2.0
 X1,2017,14100.0,Automatic,55782,Diesel,145,65.7,2.0
 3 Series,2017,13600.0,Manual,22763,Petrol,145,48.7,2.0
 5 Series,2016,15600.0,Automatic,35474,Diesel,125,60.1,2.0
 2 Series,2017,10900.0,Manual,62021,Diesel,145,65.7,2.0
 5 Series,2014,15000.0,Automatic,13858,Diesel,125,57.6,2.0
 X3,2016,21750.0,Automatic,19083,Diesel,150,54.3,2.0
 X1,2017,14000.0,Automatic,54183,Diesel,150,65.7,2.0
 3 Series,2017,13500.0,Automatic,48082,Petrol,150,51.4,2.0
 3 Series,2018,19490.0,Automatic,30703,Diesel,145,57.6,2.0
 1 Series,2015,15499.0,Semi-Auto,20000,Diesel,125,60.1,2.0
 X3,2017,23000.0,Semi-Auto,16945,Diesel,150,54.3,2.0
 X1,2017,17800.0,Automatic,31238,Diesel,145,55.4,2.0
 3 Series,2016,14800.0,Automatic,38838,Diesel,125,57.6,2.0
 X3,2016,15900.0,Automatic,59692,Diesel,145,54.3,2.0
 3 Series,2016,16300.0,Automatic,34623,Diesel,125,57.6,2.0
 5 Series,2015,10900.0,Automatic,79563,Diesel,125,60.1,2.0
 5 Series,2016,13500.0,Automatic,62444,Diesel,125,60.1,2.0
 X3,2013,12750.0,Automatic,71558,Diesel,160,50.4,2.0
 X1,2017,16700.0,Automatic,34666,Diesel,145,65.7,2.0
 X1,2017,14700.0,Manual,38405,Diesel,145,68.9,2.0
 3 Series,2018,19000.0,Automatic,20681,Diesel,145,64.2,2.0
 3 Series,2017,15400.0,Automatic,20529,Diesel,145,65.7,2.0
 X3,2016,19000.0,Automatic,42691,Diesel,145,54.3,2.0
 5 Series,2018,22600.0,Automatic,23195,Diesel,145,65.7,2.0
 3 Series,2017,12750.0,Manual,22153,Diesel,150,68.9,2.0
 X4,2016,21400.0,Automatic,31084,Diesel,145,54.3,2.0
 X4,2017,22500.0,Automatic,35016,Diesel,150,54.3,2.0
 X1,2017,14800.0,Manual,31518,Diesel,145,60.1,2.0
 1 Series,2016,14200.0,Automatic,36858,Diesel,125,60.1,2.0
 1 Series,2017,15000.0,Automatic,26052,Diesel,145,68.9,2.0
 3 Series,2017,17100.0,Automatic,31528,Diesel,145,64.2,2.0
 4 Series,2018,16900.0,Automatic,27133,Petrol,145,44.8,2.0
 5 Series,2018,21950.0,Automatic,21947,Diesel,150,68.9,2.0
 X1,2013,8750.0,Manual,80625,Diesel,160,51.4,2.0
 4 Series,2017,16000.0,Manual,16359,Petrol,145,46.3,2.0
